"FC",2024-05-03,88.8,-1.44,5.77,543807,606930,NA,"swinging_strike",14,"R","R","R","WSH","TOR","S",NA,NA,0,0,2024,0.43,0.23,0.52,1.49,NA,NA,676391,0,7,"Top",NA,NA,NA,NA,NA,90.6,2332,6.7,744868,53.76,NA,NA,NA,NA,52,1,"Cutter",3,1,3,167,0
"FC",2024-05-03,85.7,2.32,6.31,543807,571578,NA,"ball",2,"R","R","L","WSH","TOR","B",NA,NA,0,1,2024,-0.2,0.56,-0.23,3.64,NA,NA,NA,0,1,"Top",NA,NA,NA,NA,NA,86.5,2062,6.9,744868,53.6,NA,NA,NA,NA,1,2,"Cutter",0,0,0,185,0
"SI",2024-05-03,90.7,1.96,6.45,543807,571578,NA,"called_strike",8,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,1.39,1.06,-0.12,2.1,NA,NA,NA,0,1,"Top",NA,NA,NA,NA,NA,91.2,1965,6.7,744868,53.82,NA,NA,NA,NA,1,1,"Sinker",0,0,0,145,0
"SI",2024-05-03,91.3,1.96,6.24,665489,571578,"strikeout","called_strike",14,"R","R","L","WSH","TOR","S",2,NA,2,2,2024,1.52,1.09,0.03,1.61,NA,543807,NA,2,4,"Top",NA,NA,NA,NA,NA,92.7,2039,7.1,744868,53.44,NA,0,0,NA,34,5,"Sinker",3,1,3,139,0.028
"SI",2024-05-03,90.2,1.91,6.28,665489,571578,NA,"foul",14,"R","R","L","WSH","TOR","S",NA,NA,2,1,2024,1.51,0.85,1.13,1.98,NA,543807,NA,2,4,"Top",NA,NA,18,75.6,-4,91.1,1967,7,744868,53.52,NA,NA,NA,NA,34,4,"Sinker",3,1,3,146,0
"SI",2024-05-03,90.8,1.95,6.28,665489,571578,NA,"ball",14,"R","R","L","WSH","TOR","B",NA,NA,1,1,2024,1.43,0.83,1.59,2.52,NA,543807,NA,2,4,"Top",NA,NA,NA,NA,NA,91.6,1983,6.9,744868,53.65,NA,NA,NA,NA,34,3,"Sinker",3,1,3,138,0
"SI",2024-05-03,90.2,1.98,6.26,665489,571578,NA,"ball",14,"R","R","L","WSH","TOR","B",NA,NA,0,1,2024,1.56,0.87,1.27,1.93,NA,543807,NA,2,4,"Top",NA,NA,NA,NA,NA,91.1,1994,7,744868,53.5,NA,NA,NA,NA,34,2,"Sinker",3,1,3,141,0
"CH",2024-05-03,82.8,1.85,6.29,665489,571578,NA,"called_strike",9,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,1.46,1.02,0.3,1.91,NA,NA,543807,2,4,"Top",NA,NA,NA,NA,NA,84.1,1642,7.1,744868,53.41,NA,NA,NA,NA,34,1,"Changeup",3,1,3,132,-0.009
"CH",2024-05-03,82.9,1.8,6.39,665489,571578,"field_out","hit_into_play",9,"R","R","L","WSH","TOR","X",5,"ground_ball",2,2,2024,1.07,0.67,0.52,1.98,NA,643396,NA,2,2,"Top",104.2,172.33,6,88.3,-20,84.4,1596,7,744868,53.54,0.111,0.098,0,2,15,5,"Changeup",3,0,3,135,0.021
"CH",2024-05-03,83.5,2.07,6.36,665489,571578,NA,"ball",14,"R","R","L","WSH","TOR","B",NA,NA,1,2,2024,1.22,0.71,1.58,1.69,NA,643396,NA,2,2,"Top",NA,NA,NA,NA,NA,84.8,1719,6.9,744868,53.57,NA,NA,NA,NA,15,4,"Changeup",3,0,3,135,0
"SL",2024-05-03,81.6,2.13,6.16,665489,571578,NA,"blocked_ball",13,"R","R","L","WSH","TOR","B",NA,NA,0,2,2024,-0.23,-0.07,-0.55,0.02,NA,643396,NA,2,2,"Top",NA,NA,NA,NA,NA,82.8,2188,7,744868,53.47,NA,NA,NA,NA,15,3,"Slider",3,0,3,213,0
"SI",2024-05-03,91.7,1.88,6.25,665489,571578,NA,"called_strike",14,"R","R","L","WSH","TOR","S",NA,NA,0,1,2024,0.98,0.85,0.34,1.48,NA,643396,NA,2,2,"Top",NA,NA,NA,NA,NA,93.1,1997,7,744868,53.48,NA,NA,NA,NA,15,2,"Sinker",3,0,3,146,0
"CH",2024-05-03,81.7,2,6.41,665489,571578,NA,"swinging_strike",14,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,1.23,0.69,1.25,1.81,NA,643396,NA,2,2,"Top",NA,NA,NA,NA,NA,83,1432,7,744868,53.53,NA,NA,NA,NA,15,1,"Changeup",3,0,3,130,0
"FC",2024-05-03,88.2,-1.29,5.64,665489,606930,"strikeout","swinging_strike_blocked",14,"R","R","R","WSH","TOR","S",2,NA,2,2,2024,0.64,0.31,1.02,0.51,NA,NA,676391,1,7,"Top",NA,NA,NA,NA,NA,89.5,2348,6.9,744868,53.61,NA,0,0,NA,53,5,"Cutter",3,1,3,173,0.019
"FC",2024-05-03,89.6,-1.2,5.6,665489,606930,NA,"ball",14,"R","R","R","WSH","TOR","B",NA,NA,1,2,2024,0.73,0.64,1.05,0.99,NA,NA,676391,1,7,"Top",NA,NA,NA,NA,NA,90.9,2376,7,744868,53.52,NA,NA,NA,NA,53,4,"Cutter",3,1,3,174,0
"FF",2024-05-03,96.7,-1.06,5.83,665489,606930,NA,"ball",11,"R","R","R","WSH","TOR","B",NA,NA,0,2,2024,-0.18,1.6,-0.73,4.41,NA,NA,676391,1,7,"Top",NA,NA,NA,NA,NA,97.1,2439,6.7,744868,53.84,NA,NA,NA,NA,53,3,"4-Seam Fastball",3,1,3,200,0
"FF",2024-05-03,95.8,-1.15,5.86,665489,606930,NA,"called_strike",1,"R","R","R","WSH","TOR","S",NA,NA,0,1,2024,0.07,1.47,-0.44,3.41,NA,NA,676391,1,7,"Top",NA,NA,NA,NA,NA,97.1,2521,6.7,744868,53.79,NA,NA,NA,NA,53,2,"4-Seam Fastball",3,1,3,199,0
"FF",2024-05-03,95.6,-1.08,5.86,665489,606930,NA,"foul",9,"R","R","R","WSH","TOR","S",NA,NA,0,0,2024,-0.02,1.46,0.4,2.11,NA,NA,676391,1,7,"Top",NA,NA,NA,NA,NA,96.5,2539,6.7,744868,53.75,NA,NA,NA,NA,53,1,"4-Seam Fastball",3,1,3,199,0
"SI",2024-05-03,91.6,2.09,6.33,665489,571578,"double","hit_into_play",5,"R","R","L","WSH","TOR","X",9,"fly_ball",0,0,2024,0.95,0.64,-0.1,2.48,NA,NA,NA,1,1,"Top",203.57,122.5,270,83.1,29,93.2,1944,7,744868,53.5,0.071,0.084,1,3,2,1,"Sinker",0,0,0,146,-0.041
"SL",2024-05-03,82,2.48,6.28,666182,571578,"field_out","hit_into_play",6,"R","R","L","WSH","TOR","X",1,"ground_ball",0,0,2024,-0.22,0.22,0.48,2.89,NA,NA,NA,0,5,"Top",130.96,178.87,11,82.8,-13,83.2,2200,6.8,744868,53.66,0.097,0.093,0,2,38,1,"Slider",3,1,3,236,0.017
"SI",2024-05-03,91,1.94,6.25,666182,571578,"strikeout","called_strike",4,"R","R","L","WSH","TOR","S",2,NA,1,2,2024,1.34,0.88,-0.69,2.84,NA,NA,NA,0,3,"Top",NA,NA,NA,NA,NA,91.5,2023,6.9,744868,53.63,NA,0,0,NA,21,4,"Sinker",3,0,3,149,0.013
"SL",2024-05-03,81.8,2.32,6.23,666182,571578,NA,"swinging_strike",3,"R","R","L","WSH","TOR","S",NA,NA,1,1,2024,-0.32,0.4,0.33,3.34,NA,NA,NA,0,3,"Top",NA,NA,NA,NA,NA,82.6,2067,6.9,744868,53.62,NA,NA,NA,NA,21,3,"Slider",3,0,3,215,0
"SL",2024-05-03,77.9,2.06,6.38,666182,571578,NA,"foul",13,"R","R","L","WSH","TOR","S",NA,NA,1,0,2024,-0.24,-0.41,-0.25,1.57,NA,NA,NA,0,3,"Top",NA,NA,183,102.8,12,78.3,2072,6.8,744868,53.69,NA,NA,NA,NA,21,2,"Slider",3,0,3,298,0
"SI",2024-05-03,88.7,1.97,6.47,666182,571578,NA,"ball",12,"R","R","L","WSH","TOR","B",NA,NA,0,0,2024,1.55,1,1.39,3.13,NA,NA,NA,0,3,"Top",NA,NA,NA,NA,NA,89.2,1954,6.8,744868,53.75,NA,NA,NA,NA,21,1,"Sinker",3,0,3,146,0
"FC",2024-05-03,87.8,-1.25,5.72,666182,606930,"field_out","hit_into_play",5,"R","R","R","WSH","TOR","X",8,"line_drive",0,0,2024,0.91,-0.04,0.24,2.57,NA,NA,676391,2,7,"Top",136,91,308,99.9,15,88.7,2194,6.9,744868,53.65,0.694,0.677,0,4,54,1,"Cutter",3,1,3,151,0.016
"FF",2024-05-03,91.8,2.06,6.4,666182,571578,"field_out","hit_into_play",2,"R","R","L","WSH","TOR","X",8,"line_drive",0,1,2024,0.66,1.18,-0.14,3.4,NA,665489,NA,1,1,"Top",150.26,55.96,360,98.5,21,93.3,2009,6.9,744868,53.63,0.32,0.4,0,5,3,2,"4-Seam Fastball",0,0,0,142,0.03
"FC",2024-05-03,85.3,2.38,6.29,666182,571578,NA,"foul",5,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,-0.23,0.5,0.13,3.09,NA,665489,NA,1,1,"Top",NA,NA,190,76.9,18,86.7,2049,6.9,744868,53.63,NA,NA,NA,NA,3,1,"Cutter",0,0,0,187,0
"SI",2024-05-03,90.1,1.93,6.23,457759,571578,"field_out","hit_into_play",5,"R","R","L","WSH","TOR","X",6,"ground_ball",2,1,2024,1.21,0.7,-0.09,2.83,NA,NA,NA,1,5,"Top",108.62,154.97,123,102.6,7,91.5,2015,7,744868,53.53,0.657,0.62,0,4,39,4,"Sinker",3,1,3,148,0.013
"SI",2024-05-03,88.6,2.13,6.37,457759,571578,NA,"called_strike",8,"R","R","L","WSH","TOR","S",NA,NA,2,0,2024,1.23,0.81,-0.14,1.97,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,NA,89.4,2019,6.9,744868,53.64,NA,NA,NA,NA,39,3,"Sinker",3,1,3,139,0
"SI",2024-05-03,89.3,2.14,6.27,457759,571578,NA,"ball",13,"R","R","L","WSH","TOR","B",NA,NA,1,0,2024,1.69,0.72,-0.44,1,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,NA,90.1,2030,7,744868,53.5,NA,NA,NA,NA,39,2,"Sinker",3,1,3,139,0
"SI",2024-05-03,89.4,2.18,6.31,457759,571578,NA,"ball",13,"R","R","L","WSH","TOR","B",NA,NA,0,0,2024,1.29,0.7,-0.01,1.2,NA,NA,NA,1,5,"Top",NA,NA,NA,NA,NA,90.3,2008,6.9,744868,53.63,NA,NA,NA,NA,39,1,"Sinker",3,1,3,139,0
"CH",2024-05-03,82.4,1.98,6.37,457759,571578,"single","hit_into_play",14,"R","R","L","WSH","TOR","X",8,"line_drive",2,1,2024,1.32,0.78,0.95,2.45,NA,NA,NA,1,3,"Top",111.32,94.02,265,95.5,16,83.5,1390,7,744868,53.53,0.717,0.688,1,4,22,4,"Changeup",3,0,3,133,-0.014
"SI",2024-05-03,90.3,2.06,6.4,457759,571578,NA,"ball",12,"R","R","L","WSH","TOR","B",NA,NA,1,1,2024,1.45,0.97,1.34,3.12,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,NA,90.9,2036,6.7,744868,53.84,NA,NA,NA,NA,22,3,"Sinker",3,0,3,150,0
"SL",2024-05-03,80.4,2.16,6.28,457759,571578,NA,"ball",13,"R","R","L","WSH","TOR","B",NA,NA,0,1,2024,-0.12,0.13,-0.6,0.27,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,NA,81.7,2205,7.1,744868,53.4,NA,NA,NA,NA,22,2,"Slider",3,0,3,298,0
"SI",2024-05-03,90.8,2.01,6.39,457759,571578,NA,"called_strike",8,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,1.27,0.82,0.04,1.99,NA,NA,NA,1,3,"Top",NA,NA,NA,NA,NA,91.6,2022,6.8,744868,53.65,NA,NA,NA,NA,22,1,"Sinker",3,0,3,148,0
"SI",2024-05-03,92.5,2.08,6.22,457759,571578,"field_out","hit_into_play",4,"R","R","L","WSH","TOR","X",4,"line_drive",1,2,2024,0.83,0.72,-0.75,2.22,665489,NA,NA,2,1,"Top",136.1,134.33,169,68,19,93.9,2098,7,744868,53.49,0.717,0.645,0,4,4,7,"Sinker",0,0,0,155,0.036
"FC",2024-05-03,85.1,2.08,6.2,457759,571578,NA,"foul",4,"R","R","L","WSH","TOR","S",NA,NA,1,2,2024,-0.23,0.24,-0.5,2.86,665489,NA,NA,2,1,"Top",NA,NA,370,102.1,30,86.5,2271,7,744868,53.54,NA,NA,NA,NA,4,6,"Cutter",0,0,0,252,0
"SI",2024-05-03,92.7,2.19,6.23,457759,571578,NA,"ball",14,"R","R","L","WSH","TOR","B",NA,NA,0,2,2024,1.39,0.59,1.96,2.12,665489,NA,NA,2,1,"Top",NA,NA,NA,NA,NA,93.8,2065,7,744868,53.52,NA,NA,NA,NA,4,5,"Sinker",0,0,0,148,0
"FF",2024-05-03,92.4,2.08,6.3,457759,571578,NA,"foul",6,"R","R","L","WSH","TOR","S",NA,NA,0,2,2024,0.77,1,0.5,2.63,665489,NA,NA,2,1,"Top",NA,NA,283,87.2,34,93.7,1963,6.9,744868,53.57,NA,NA,NA,NA,4,4,"4-Seam Fastball",0,0,0,139,0
"FC",2024-05-03,85.8,2.27,6.22,457759,571578,NA,"foul",3,"R","R","L","WSH","TOR","S",NA,NA,0,2,2024,-0.23,0.14,0.72,3.49,665489,NA,NA,2,1,"Top",NA,NA,260,82.8,30,87,2288,6.9,744868,53.62,NA,NA,NA,NA,4,3,"Cutter",0,0,0,232,0
"SI",2024-05-03,92.5,1.95,6.32,457759,571578,NA,"called_strike",4,"R","R","L","WSH","TOR","S",NA,NA,0,1,2024,1.05,1.17,-0.32,2.91,665489,NA,NA,2,1,"Top",NA,NA,NA,NA,NA,93.6,2084,6.9,744868,53.58,NA,NA,NA,NA,4,2,"Sinker",0,0,0,148,0
"FC",2024-05-03,85.5,2.29,6.31,457759,571578,NA,"called_strike",7,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,-0.18,0.47,-0.49,2.15,665489,NA,NA,2,1,"Top",NA,NA,NA,NA,NA,87,2232,7,744868,53.52,NA,NA,NA,NA,4,1,"Cutter",0,0,0,193,0
"FF",2024-05-03,98.4,-1.96,5.96,457759,640451,"field_out","hit_into_play",6,"R","R","R","WSH","TOR","X",4,"ground_ball",0,2,2024,-0.55,1.29,0.33,2.41,NA,NA,NA,0,8,"Top",146.19,150.9,14,97.8,-9,98.5,1832,6.4,744868,54.08,0.26,0.212,0,2,63,5,"4-Seam Fastball",3,5,3,205,0.036
"FF",2024-05-03,97.4,-1.92,6.03,457759,640451,NA,"foul",11,"R","R","R","WSH","TOR","S",NA,NA,0,2,2024,-0.6,1.44,-1.06,3.82,NA,NA,NA,0,8,"Top",NA,NA,NA,NA,NA,97.4,1986,6.3,744868,54.19,NA,NA,NA,NA,63,4,"4-Seam Fastball",3,5,3,208,0
"FS",2024-05-03,90.1,-2.25,5.75,457759,640451,NA,"foul",5,"R","R","R","WSH","TOR","S",NA,NA,0,2,2024,-1.13,0.2,-0.09,2.41,NA,NA,NA,0,8,"Top",NA,NA,4,85.1,-29,89.4,746,6,744868,54.49,NA,NA,NA,NA,63,3,"Split-Finger",3,5,3,241,0
"FF",2024-05-03,98.2,-2.02,5.92,457759,640451,NA,"foul",1,"R","R","R","WSH","TOR","S",NA,NA,0,1,2024,-0.63,1.39,-0.28,3.03,NA,NA,NA,0,8,"Top",NA,NA,189,66.8,40,98.4,2100,6.4,744868,54.13,NA,NA,NA,NA,63,2,"4-Seam Fastball",3,5,3,205,0
"FF",2024-05-03,98.1,-2.03,5.91,457759,640451,NA,"called_strike",6,"R","R","R","WSH","TOR","S",NA,NA,0,0,2024,-0.5,1.5,0.73,2.39,NA,NA,NA,0,8,"Top",NA,NA,NA,NA,NA,98.5,2047,6.6,744868,53.94,NA,NA,NA,NA,63,1,"4-Seam Fastball",3,5,3,206,0
"FC",2024-05-03,84.8,2.27,6.17,643376,571578,"field_out","hit_into_play",7,"R","R","L","WSH","TOR","X",7,"fly_ball",2,2,2024,-0.16,0.16,-0.55,1.89,NA,NA,NA,2,5,"Top",64,102,330,94,40,85.7,2325,7,744868,53.51,0.017,0.036,0,3,40,5,"Cutter",3,1,3,199,0.008
"SL",2024-05-03,79.9,2.06,6.25,643376,571578,NA,"called_strike",4,"R","R","L","WSH","TOR","S",NA,NA,2,1,2024,-0.18,0.04,-0.32,2.22,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,NA,81,2280,7,744868,53.48,NA,NA,NA,NA,40,4,"Slider",3,1,3,278,0
"SI",2024-05-03,91.2,2.04,6.22,643376,571578,NA,"ball",14,"R","R","L","WSH","TOR","B",NA,NA,1,1,2024,1.36,1.09,0.47,1.28,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,NA,92.2,2054,6.9,744868,53.59,NA,NA,NA,NA,40,3,"Sinker",3,1,3,142,0
"SI",2024-05-03,91.7,2.09,6.28,643376,571578,NA,"ball",13,"R","R","L","WSH","TOR","B",NA,NA,0,1,2024,1.23,0.91,-1.16,2.45,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,NA,92.5,2079,6.9,744868,53.57,NA,NA,NA,NA,40,2,"Sinker",3,1,3,143,0
"SI",2024-05-03,90.6,2.24,6.27,643376,571578,NA,"called_strike",5,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,1.42,0.95,-0.26,2.27,NA,NA,NA,2,5,"Top",NA,NA,NA,NA,NA,91.2,2053,6.9,744868,53.64,NA,NA,NA,NA,40,1,"Sinker",3,1,3,141,0
"SI",2024-05-03,91.4,1.97,6.32,643376,571578,"field_out","hit_into_play",5,"R","R","L","WSH","TOR","X",4,"popup",0,0,2024,1.08,1.12,-0.02,2.18,NA,NA,457759,1,3,"Top",143.14,152.42,111,81.7,69,92.2,1998,6.8,744868,53.69,0.001,0,0,3,23,1,"Sinker",3,0,3,148,0.016
"SI",2024-05-03,91.3,2,6.3,643376,571578,"walk","ball",13,"R","R","L","WSH","TOR","B",NA,NA,3,1,2024,1.34,0.78,-0.4,0.93,NA,NA,NA,0,2,"Top",NA,NA,NA,NA,NA,92.4,2054,7,744868,53.52,NA,0.698238,0,NA,9,5,"Sinker",0,0,0,140,-0.038
"SI",2024-05-03,91.5,2.16,6.31,643376,571578,NA,"ball",11,"R","R","L","WSH","TOR","B",NA,NA,2,1,2024,1.04,0.97,-1.45,3.27,NA,NA,NA,0,2,"Top",NA,NA,NA,NA,NA,92.6,2187,6.9,744868,53.6,NA,NA,NA,NA,9,4,"Sinker",0,0,0,147,0
"SL",2024-05-03,80.9,2.28,6.25,643376,571578,NA,"ball",13,"R","R","L","WSH","TOR","B",NA,NA,1,1,2024,0.04,-0.01,-1.03,0.74,NA,NA,NA,0,2,"Top",NA,NA,NA,NA,NA,82,2170,7,744868,53.51,NA,NA,NA,NA,9,3,"Slider",0,0,0,305,0
"SL",2024-05-03,79.7,2.23,6.34,643376,571578,NA,"ball",13,"R","R","L","WSH","TOR","B",NA,NA,0,1,2024,-0.14,0.05,-0.61,0.85,NA,NA,NA,0,2,"Top",NA,NA,NA,NA,NA,80.7,2136,6.9,744868,53.56,NA,NA,NA,NA,9,2,"Slider",0,0,0,279,0
"FF",2024-05-03,90.3,2.35,6.38,643376,571578,NA,"foul",1,"R","R","L","WSH","TOR","S",NA,NA,0,0,2024,0.58,1.24,-0.37,3.34,NA,NA,NA,0,2,"Top",NA,NA,236,79.7,43,91.7,2111,7,744868,53.53,NA,NA,NA,NA,9,1,"4-Seam Fastball",0,0,0,143,0
"FF",2024-05-03,99,-1.81,6.01,643376,640451,"double","hit_into_play",2,"R","R","R","WSH","TOR","X",8,"line_drive",0,2,2024,-0.6,1.48,0.01,2.84,NA,NA,NA,1,8,"Top",89,51.93,309,101.7,15,99.5,1946,6.5,744868,54.02,0.691,0.689,1,4,64,3,"4-Seam Fastball",3,5,3,207,-0.059
"FS",2024-05-03,90.4,-2.22,5.72,643376,640451,NA,"swinging_strike",14,"R","R","R","WSH","TOR","S",NA,NA,0,1,2024,-0.63,0.26,0.87,0.9,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,90.3,939,6.3,744868,54.25,NA,NA,NA,NA,64,2,"Split-Finger",3,5,3,237,0
"FF",2024-05-03,98.1,-1.95,5.97,643376,640451,NA,"called_strike",7,"R","R","R","WSH","TOR","S",NA,NA,0,0,2024,-0.53,1.59,-0.29,1.97,NA,NA,NA,1,8,"Top",NA,NA,NA,NA,NA,98.2,2004,6.4,744868,54.13,NA,NA,NA,NA,64,1,"4-Seam Fastball",3,5,3,206,0
